source,group,feature,icc_2_1,n_subjects,n_trials,trial_ids_used,ms_subject,ms_trial,ms_error
HE_FreeAcc_Magnitude,neuro,HE_FreeAcc_Magnitude_avg_stride_time,0.6280316724348102,2,20,"1,2,3,4,5,6,7,8,9,10,13,14,11,12,15,16,17,18,19,20",0.03957014487991608,0.0007899218070444314,0.001466846564847626
HE_FreeAcc_Magnitude,neuro,HE_FreeAcc_Magnitude_max_stride_time,-0.035117554068994444,2,20,"1,2,3,4,5,6,7,8,9,10,13,14,11,12,15,16,17,18,19,20",0.1452025000000012,0.4244130263157895,0.4376761842105264
HE_FreeAcc_Magnitude,neuro,HE_FreeAcc_Magnitude_std_stride_time,-0.0493997738386944,2,20,"1,2,3,4,5,6,7,8,9,10,13,14,11,12,15,16,17,18,19,20",1.1925662652279054e-05,0.01040260175178015,0.009275040776938514
HE_FreeAcc_Magnitude,neuro,HE_FreeAcc_Magnitude_u_turn_time,0.2742896923263524,2,20,"1,2,3,4,5,6,7,8,9,10,13,14,11,12,15,16,17,18,19,20",1.31769,0.12723684210526312,0.1750742105263158
HE_FreeAcc_Magnitude,neuro,HE_FreeAcc_Magnitude_gait_cadence,0.46762370496254907,2,20,"1,2,3,4,5,6,7,8,9,10,13,14,11,12,15,16,17,18,19,20",0.11221842131433102,0.005152369575817074,0.006844187408728296
HE_FreeAcc_Magnitude,neuro,HE_FreeAcc_Magnitude_avg_acceleration_peak,-0.00018780919710167273,2,20,"1,2,3,4,5,6,7,8,9,10,13,14,11,12,15,16,17,18,19,20",0.7062565466707247,0.870518991871475,0.7092228901089715
HE_FreeAcc_Magnitude,neuro,HE_FreeAcc_Magnitude_max_acceleration_peak,0.057937806811521816,2,20,"1,2,3,4,5,6,7,8,9,10,13,14,11,12,15,16,17,18,19,20",6.940935098695411,6.171831020805432,1.947476403542221
HE_FreeAcc_Magnitude,neuro,HE_FreeAcc_Magnitude_std_acceleration_peak,0.033838484839350855,2,20,"1,2,3,4,5,6,7,8,9,10,13,14,11,12,15,16,17,18,19,20",0.23041914612738576,0.29629304886389585,0.09379584838306015
HE_FreeAcc_Magnitude,neuro,HE_FreeAcc_Magnitude_avg_jerk,0.19659702263499085,2,20,"1,2,3,4,5,6,7,8,9,10,13,14,11,12,15,16,17,18,19,20",129.25493941939786,29.51946027199324,16.54144089881795
HE_FreeAcc_Magnitude,neuro,HE_FreeAcc_Magnitude_max_jerk,0.09297404173626377,2,20,"1,2,3,4,5,6,7,8,9,10,13,14,11,12,15,16,17,18,19,20",3265.5705402252006,1395.4902132412215,906.2195482937166
HE_FreeAcc_Magnitude,neuro,HE_FreeAcc_Magnitude_std_jerk,0.1571715162671204,2,20,"1,2,3,4,5,6,7,8,9,10,13,14,11,12,15,16,17,18,19,20",218.82219529007864,64.07722643071077,34.672568799927284
HE_FreeAcc_Magnitude,ortho,HE_FreeAcc_Magnitude_avg_stride_time,-0.08527814203037985,2,9,"1,2,3,4,5,6,7,8,9",0.0011497868850648988,0.004068098174826358,0.004004093794783624
HE_FreeAcc_Magnitude,ortho,HE_FreeAcc_Magnitude_max_stride_time,0.37978113368548094,2,9,"1,2,3,4,5,6,7,8,9",3.6090888888888895,0.4550750000000001,0.6271138888888885
HE_FreeAcc_Magnitude,ortho,HE_FreeAcc_Magnitude_std_stride_time,0.3961788963859312,2,9,"1,2,3,4,5,6,7,8,9",0.09796562760781591,0.01157048183008638,0.01614236914866122
HE_FreeAcc_Magnitude,ortho,HE_FreeAcc_Magnitude_u_turn_time,0.38182179601474636,2,9,"1,2,3,4,5,6,7,8,9",6.968888888888894,0.5729597222222219,1.4225263888888877
HE_FreeAcc_Magnitude,ortho,HE_FreeAcc_Magnitude_gait_cadence,-0.14473405428404107,2,9,"1,2,3,4,5,6,7,8,9",0.00013357823054614004,0.00746423040797018,0.01016229414233075
HE_FreeAcc_Magnitude,ortho,HE_FreeAcc_Magnitude_avg_acceleration_peak,0.8343182101713261,2,9,"1,2,3,4,5,6,7,8,9",25.852800949861233,0.5729114956814684,0.543958990936097
HE_FreeAcc_Magnitude,ortho,HE_FreeAcc_Magnitude_max_acceleration_peak,0.8973733903282299,2,9,"1,2,3,4,5,6,7,8,9",55.41190863310769,0.37436799950292116,1.008250563033672
HE_FreeAcc_Magnitude,ortho,HE_FreeAcc_Magnitude_std_acceleration_peak,0.6295823133694098,2,9,"1,2,3,4,5,6,7,8,9",5.048798347933898,0.22061790211345733,0.3886724881554191
HE_FreeAcc_Magnitude,ortho,HE_FreeAcc_Magnitude_avg_jerk,0.23085346094527806,2,9,"1,2,3,4,5,6,7,8,9",4.50578529627921,1.667826461059114,0.9585263938210813
HE_FreeAcc_Magnitude,ortho,HE_FreeAcc_Magnitude_max_jerk,0.21590124411878261,2,9,"1,2,3,4,5,6,7,8,9",568.1465995381631,135.65837213263507,178.67035737046706
HE_FreeAcc_Magnitude,ortho,HE_FreeAcc_Magnitude_std_jerk,0.19316930924858136,2,9,"1,2,3,4,5,6,7,8,9",9.722377594993617,3.9460046431133096,2.6336260996182634
HE_Gyr_Magnitude,all,HE_Gyr_Magnitude_avg_stride_time,0.896697214725761,2,24,"1,2,3,4,5,6,7,8,9,10,14,13,12,11,15,16,17,18,19,20,21,22,23,24",0.15652494523812488,0.0006595898673935868,0.00083508009515689
HE_Gyr_Magnitude,all,HE_Gyr_Magnitude_max_stride_time,0.3133017819565334,2,24,"1,2,3,4,5,6,7,8,9,10,14,13,12,11,15,16,17,18,19,20,21,22,23,24",3.2447999999999997,0.27215181159420293,0.2710130434782609
HE_Gyr_Magnitude,all,HE_Gyr_Magnitude_std_stride_time,0.4134344095619881,2,24,"1,2,3,4,5,6,7,8,9,10,14,13,12,11,15,16,17,18,19,20,21,22,23,24",0.09750066785301756,0.00538500878334511,0.005493074688706563
HE_Gyr_Magnitude,all,HE_Gyr_Magnitude_u_turn_time,0.3422259791490562,2,24,"1,2,3,4,5,6,7,8,9,10,14,13,12,11,15,16,17,18,19,20,21,22,23,24",1.3500520833333338,0.10499338768115947,0.0958868659420289
HE_Gyr_Magnitude,all,HE_Gyr_Magnitude_gait_cadence,0.8093182259722581,2,24,"1,2,3,4,5,6,7,8,9,10,14,13,12,11,15,16,17,18,19,20,21,22,23,24",0.43426514302211483,0.003922620746797965,0.004515088524048138
HE_Gyr_Magnitude,all,HE_Gyr_Magnitude_avg_angular_velocity_peak,0.0038035937050536033,2,24,"1,2,3,4,5,6,7,8,9,10,14,13,12,11,15,16,17,18,19,20,21,22,23,24",0.04770387920296965,0.03714793794847111,0.04398651012968622
HE_Gyr_Magnitude,all,HE_Gyr_Magnitude_max_angular_velocity_peak,0.052849116689389394,2,24,"1,2,3,4,5,6,7,8,9,10,14,13,12,11,15,16,17,18,19,20,21,22,23,24",0.9341438947909257,0.390163895068762,0.40303621876029
HE_Gyr_Magnitude,all,HE_Gyr_Magnitude_std_angular_velocity_peak,0.08508951113670525,2,24,"1,2,3,4,5,6,7,8,9,10,14,13,12,11,15,16,17,18,19,20,21,22,23,24",0.12442348325439104,0.04003342616588586,0.03768586439338617
HE_Gyr_Magnitude,all,HE_Gyr_Magnitude_avg_angular_acceleration,0.6470993034481081,2,24,"1,2,3,4,5,6,7,8,9,10,14,13,12,11,15,16,17,18,19,20,21,22,23,24",19.00068286753658,0.4558275329834501,0.38996428447746373
