condition,kept_sensors,include_derivatives,training_seed,epoch,loss
train_HE_LB_LF_RF_no_derivative,"HE,LB,LF,RF",False,149,10,1.7138992365863588
train_HE_LB_LF_RF_no_derivative,"HE,LB,LF,RF",False,149,11,1.6959971239169438
train_HE_LB_LF_RF_no_derivative,"HE,LB,LF,RF",False,149,12,1.635099619626999
train_HE_LB_LF_RF_no_derivative,"HE,LB,LF,RF",False,149,13,1.6228250530030992
train_HE_LB_LF_RF_no_derivative,"HE,LB,LF,RF",False,149,14,1.6737393389145534
train_HE_LB_LF_RF_no_derivative,"HE,LB,LF,RF",False,149,15,1.6302666183975008
train_HE_LB_LF_RF_no_derivative,"HE,LB,LF,RF",False,149,16,1.581421862045924
train_HE_LB_LF_RF_no_derivative,"HE,LB,LF,RF",False,149,17,1.6001053551832836
train_HE_LB_LF_RF_no_derivative,"HE,LB,LF,RF",False,149,18,1.6768918749358919
train_HE_LB_LF_RF_no_derivative,"HE,LB,LF,RF",False,149,19,1.567934552828471
train_HE_LB_LF_RF_no_derivative,"HE,LB,LF,RF",False,149,20,1.4922571579615276
train_HE_LB_LF_RF_no_derivative,"HE,LB,LF,RF",False,149,21,1.550214934680197
train_HE_LB_LF_RF_no_derivative,"HE,LB,LF,RF",False,149,22,1.4907523393630981
train_HE_LB_LF_RF_no_derivative,"HE,LB,LF,RF",False,149,23,1.462124518222279
train_HE_LB_LF_RF_no_derivative,"HE,LB,LF,RF",False,149,24,1.4973732514513864
train_HE_LB_LF_RF_no_derivative,"HE,LB,LF,RF",False,149,25,1.5265863339106243
train_HE_LB_LF_RF_no_derivative,"HE,LB,LF,RF",False,149,26,1.482343703508377
train_HE_LB_LF_RF_no_derivative,"HE,LB,LF,RF",False,149,27,1.4744944986369874
train_HE_LB_LF_RF_no_derivative,"HE,LB,LF,RF",False,149,28,1.5138024455971189
train_HE_LB_LF_RF_no_derivative,"HE,LB,LF,RF",False,149,29,1.4840266158183415
train_HE_LB_LF_RF_no_derivative,"HE,LB,LF,RF",False,149,30,1.4488396826717589
