epoch,loss
1,2.38195929924647
2,2.1481489969624414
3,2.0968337373601065
4,1.9018525679906209
5,1.8742057979106903
6,1.7404727853006787
7,1.7891197154919307
8,1.7368059025870428
9,1.678021737270885
10,1.6098617050382826
11,1.5712456819083955
12,1.594448799888293
13,1.5562641123930614
14,1.5195454243156645
15,1.5116511815124087
16,1.551316608985265
17,1.538072556257248
18,1.5189859867095947
19,1.486331068807178
20,1.5159816361135907
21,1.450371144546403
22,1.5225051177872553
23,1.4210264268848631
24,1.4826477004422083
25,1.4651077737410863
26,1.4312017046742969
27,1.4674661109844844
28,1.433034360408783
29,1.5346321678823895
30,1.4687427067094379
