split,source,feature,feature_column,n,spearman_rho,p_value,biomarker_mean,biomarker_std,feature_mean,feature_std
test,RF_FreeAcc_Magnitude,U-turn time,RF_FreeAcc_Magnitude_u_turn_time,266,-0.2597232639152622,1.7879063885279102e-05,0.3208977927390794,1.0800572045801315,3.0023308270676687,1.5480416781567146
test,RF_FreeAcc_Magnitude,Std stride time,RF_FreeAcc_Magnitude_std_stride_time,266,-0.15464939644000822,0.011550445946864081,0.3208977927390794,1.0800572045801315,0.15950059931759192,0.19305695751820526
test,RF_FreeAcc_Magnitude,Max stride time,RF_FreeAcc_Magnitude_max_stride_time,266,-0.13944384496317908,0.02292548180731615,0.3208977927390794,1.0800572045801315,1.9321428571428574,1.0867925433793764
test,RF_FreeAcc_Magnitude,Avg stride time,RF_FreeAcc_Magnitude_avg_stride_time,266,0.10935746872334705,0.07499246677911652,0.3208977927390794,1.0800572045801315,1.2049967195610776,0.1680170203159981
test,RF_FreeAcc_Magnitude,Gait cadence,RF_FreeAcc_Magnitude_gait_cadence,266,-0.06656078388119349,0.2794031686297917,0.3208977927390794,1.0800572045801315,1.730794723431569,0.21787174580610802
