split,feature_1,feature_2,n,spearman_rho,p_value
test,Avg stride time,Std acceleration peak (RF-LF),266,-0.6557791535940559,4.391934424803602e-34
test,Avg stride time,Std angular velocity (RF-LF),266,-0.6485016837995564,3.928831188407703e-33
test,U-turn time,Avg jerk (RF-LF),266,-0.6435303504832484,1.6963508862268895e-32
test,Gait cadence,Avg acceleration peak (RF-LF),266,0.6376755689396126,9.177844574234806e-32
test,U-turn time,Std angular velocity (RF-LF),266,-0.6362403035621067,1.3806284334549734e-31
test,Std jerk (RF-LF),Avg angular acceleration (RF-LF),266,0.6333868378812199,3.08938164794291e-31
test,Std jerk (RF-LF),Std angular acceleration (RF-LF),266,0.6311947985290766,5.703087922633417e-31
test,Avg stride time,Avg jerk (RF-LF),266,-0.62616525830667,2.285570252867301e-30
test,Std acceleration peak (RF-LF),Max jerk (RF-LF),266,0.6224413057234989,6.285531489906085e-30
test,Gait cadence,Std jerk (RF-LF),266,0.6162916881591137,3.24398551041827e-29
test,Avg jerk (RF-LF),Std angular velocity (RF-LF),266,0.6046136116207415,6.640920675658014e-28
test,Gait cadence,Avg angular velocity peak (RF-LF),266,0.60313274475114,9.652744042644039e-28
test,Gait cadence,Std angular velocity peak (RF-LF),266,0.6020319420865148,1.2730339051325172e-27
test,Avg stride time,Avg acceleration peak (RF-LF),266,-0.5960623303109975,5.605260778962723e-27
test,U-turn time,Std jerk (RF-LF),266,-0.5925969378643566,1.3067211487513074e-26
test,Max stride time,Avg acceleration peak (RF-LF),266,-0.5920835238530606,1.4800155993505807e-26
test,Max stride time,Avg angular velocity peak (RF-LF),266,-0.587814333733757,4.133048707975343e-26
test,Avg acceleration peak (RF-LF),Max jerk (RF-LF),266,0.5849859968981176,8.093514167409053e-26
test,Max stride time,Std acceleration peak (RF-LF),266,-0.5815006124939178,1.8361597821073015e-25
test,Max stride time,Gait cadence,266,-0.5797907491814109,2.734587120552912e-25
test,Avg stride time,Std jerk (RF-LF),266,-0.5739876361437324,1.0386441847412947e-24
test,Avg stride time,Avg angular velocity peak (RF-LF),266,-0.5637979670075143,1.015749431669595e-23
test,Avg stride time,Std angular velocity peak (RF-LF),266,-0.5632566517932571,1.144047136167054e-23
test,Avg stride time,Max stride time,266,0.5605601186781132,2.062374616042487e-23
test,Max stride time,Std angular velocity peak (RF-LF),266,-0.5524824895263272,1.1673952775003702e-22
test,Std jerk (RF-LF),Std angular velocity (RF-LF),266,0.5452034793364585,5.350086394124875e-22
test,Max stride time,Avg angular acceleration (RF-LF),266,-0.5405309251030243,1.3943177700170994e-21
test,Max stride time,Avg jerk (RF-LF),266,-0.5362872398160367,3.285553932505228e-21
test,Proposed Biomarker,Max jerk (RF-LF),266,0.531543082850225,8.444765693720821e-21
test,Max stride time,Std angular acceleration (RF-LF),266,-0.5190800858836067,9.406439309807832e-20
test,Mean acceleration (RF-LF),Mean angular velocity (RF-LF),266,0.5084718367893446,6.779498747822142e-19
test,Std stride time,Avg angular velocity peak (RF-LF),266,-0.4940839484762362,8.868811558953398e-18
test,Max stride time,Std jerk (RF-LF),266,-0.48723092652893396,2.894184118226548e-17
test,Std stride time,Avg acceleration peak (RF-LF),266,-0.4810216127556542,8.26238367060541e-17
test,U-turn time,Gait cadence,266,-0.4806328355514478,8.817059120016665e-17
test,Max stride time,Std acceleration (RF-LF),266,-0.47498446248197657,2.245327263769004e-16
test,Max jerk (RF-LF),Std angular velocity peak (RF-LF),266,0.4683405567129611,6.59627137148179e-16
test,Max stride time,Std angular velocity (RF-LF),266,-0.46328475827779464,1.4746958468118516e-15
test,Proposed Biomarker,Std jerk (RF-LF),266,0.46134362830969733,2.0013690791416966e-15
test,Std stride time,Std acceleration peak (RF-LF),266,-0.45304920133702925,7.221803967485582e-15
test,Std stride time,Std angular velocity peak (RF-LF),266,-0.45291721991006767,7.36872179166205e-15
test,Max jerk (RF-LF),Avg angular velocity peak (RF-LF),266,0.4432557969016245,3.144143061000595e-14
test,Gait cadence,Max jerk (RF-LF),266,0.43990694981724415,5.1439477891993676e-14
test,Avg stride time,U-turn time,266,0.4378139803236176,6.977919832666281e-14
test,Max stride time,U-turn time,266,0.42445525389449257,4.654148828001179e-13
test,Std stride time,Avg jerk (RF-LF),266,-0.4232271371666393,5.51822097369897e-13
test,U-turn time,Max jerk (RF-LF),266,-0.41538953237591114,1.6098412109949914e-12
test,Std stride time,Avg angular acceleration (RF-LF),266,-0.4145692830762512,1.797845567737041e-12
test,Proposed Biomarker,Avg jerk (RF-LF),266,0.4073103045933681,4.7165259058326375e-12
test,Avg stride time,Max jerk (RF-LF),266,-0.4003813434978226,1.1590835141885796e-11
test,Std stride time,Gait cadence,266,-0.3931708153720139,2.8905509924041568e-11
test,Max jerk (RF-LF),Std angular acceleration (RF-LF),266,0.392017674034567,3.338591419387764e-11
test,Max jerk (RF-LF),Avg angular acceleration (RF-LF),266,0.3837277102019412,9.255163668985783e-11
test,Std stride time,Std angular acceleration (RF-LF),266,-0.38220960499616646,1.1120918338425567e-10
test,Std stride time,Std jerk (RF-LF),266,-0.3757399647093141,2.406939604701382e-10
test,Avg stride time,Std stride time,266,0.3747303984038581,2.71099540276866e-10
test,Max jerk (RF-LF),Std angular velocity (RF-LF),266,0.3520885104429507,3.5152780453239493e-09
test,Max stride time,Max jerk (RF-LF),266,-0.32459489991995893,6.080466000525394e-08
test,Std stride time,U-turn time,266,0.3190669939271937,1.043449089891201e-07
test,Std stride time,Std acceleration (RF-LF),266,-0.315827410374569,1.424757263179004e-07
test,Std stride time,Std angular velocity (RF-LF),266,-0.3099048235386006,2.494157641868934e-07
test,Proposed Biomarker,U-turn time,266,-0.2597232639152622,1.7879063885279102e-05
test,Proposed Biomarker,Avg acceleration peak (RF-LF),266,0.23831223171347918,8.667549078789895e-05
test,Std stride time,Max jerk (RF-LF),266,-0.23573317436053562,0.00010384554657716435
test,Proposed Biomarker,Std acceleration (RF-LF),266,0.20757139828583543,0.0006577217185349443
test,Proposed Biomarker,Std acceleration peak (RF-LF),266,0.19182288985129775,0.0016720205646098343
test,Proposed Biomarker,Std angular velocity peak (RF-LF),266,0.19008609078345642,0.0018453750108200168
test,Proposed Biomarker,Avg angular velocity peak (RF-LF),266,0.16815804616480784,0.00597294395216467
test,Std angular velocity peak (RF-LF),Mean angular velocity (RF-LF),266,0.16678849976329418,0.006399994488017041
test,Proposed Biomarker,Std stride time,266,-0.15464939644000822,0.011550445946864081
test,Avg acceleration peak (RF-LF),Mean angular velocity (RF-LF),266,0.14096030833921777,0.02146748593121423
test,Avg angular acceleration (RF-LF),Mean angular velocity (RF-LF),266,0.1404349329971101,0.021963249000216362
test,Std acceleration peak (RF-LF),Mean angular velocity (RF-LF),266,0.13951170059981413,0.022858459663184023
test,Proposed Biomarker,Max stride time,266,-0.13944384496317908,0.02292548180731615
test,Std angular acceleration (RF-LF),Mean angular velocity (RF-LF),266,0.13900545300074438,0.023362592834178107
test,Avg angular velocity peak (RF-LF),Mean angular velocity (RF-LF),266,0.13150674013845298,0.032030561718310875
test,Avg jerk (RF-LF),Mean angular velocity (RF-LF),266,0.12741977904268834,0.037816376331856576
test,Std jerk (RF-LF),Mean angular velocity (RF-LF),266,0.12297895470072255,0.04508153160101667
test,Std acceleration (RF-LF),Mean angular velocity (RF-LF),266,0.1130229644494956,0.06568467418451038
test,Proposed Biomarker,Avg stride time,266,0.10935746872334705,0.07499246677911652
test,Max jerk (RF-LF),Mean angular velocity (RF-LF),266,0.10082902826283431,0.10081579371118231
test,Avg stride time,Mean acceleration (RF-LF),266,-0.0938263764923838,0.12690421389673281
test,U-turn time,Mean angular velocity (RF-LF),266,-0.09112447070702794,0.1382653980102174
test,Gait cadence,Mean acceleration (RF-LF),266,0.0880195817269073,0.15226543286304844
test,Std acceleration peak (RF-LF),Mean acceleration (RF-LF),266,0.08461954122108323,0.16879912439308076
test,Mean angular velocity (RF-LF),Std angular velocity (RF-LF),266,0.07950669550705257,0.1961302698778059
test,Avg jerk (RF-LF),Mean acceleration (RF-LF),266,0.07136018974721094,0.24611085186644407
test,Avg acceleration peak (RF-LF),Mean acceleration (RF-LF),266,0.0698739641131661,0.2561108208775378
test,Proposed Biomarker,Gait cadence,266,-0.06656078388119349,0.2794031686297917
test,Std jerk (RF-LF),Mean acceleration (RF-LF),266,0.05473563068153742,0.37390971976688686
test,Avg angular acceleration (RF-LF),Mean acceleration (RF-LF),266,0.05397115855145602,0.38062966539689225
test,Std angular velocity peak (RF-LF),Mean acceleration (RF-LF),266,0.05178740788796243,0.4002280715841792
test,Std angular acceleration (RF-LF),Mean acceleration (RF-LF),266,0.04970503426256972,0.4194671872816822
